Comment,Designator,Footprint,LCSC
WS2812B,"D1,D10,D11,D12,D2,D3,D4,D5,D6,D7,D8,D9",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,C2874885
SW_Push,SW18,Kailh_socket_PG1350_reversible,
MountingHole,H1,MountingHole_6.4mm_M6,
MountingHole,H4,MountingHole_6.4mm_M6,
MountingHole,H6,MountingHole_6.4mm_M6,
MountingHole,H3,MountingHole_6.4mm_M6,
MountingHole,H2,MountingHole_6.4mm_M6,
MountingHole,H7,MountingHole_6.4mm_M6,
MountingHole,H5,MountingHole_6.4mm_M6,
RP2040-Zero,A1,RP2040-Zero,
SSD1306,OLED1,128x64OLED,
SW_Push,L3,SW_PUSH_6mm_H5mm,
SW_Push,SELECT1,SW_PUSH_6mm_H5mm,
SW_Push,R3,SW_PUSH_6mm_H5mm,
SW_Push,START1,SW_PUSH_6mm_H5mm,
SW_Push,HOME1,SW_PUSH_6mm_H5mm,
SW_Push,cheatbutton01,Kailh_socket_PG1350_reversible,
SW_Push,cheatbutton02,Kailh_socket_PG1350_reversible,
SW_Push,R1,Kailh_socket_PG1350_reversible,
SW_Push,L1,Kailh_socket_PG1350_reversible,
SW_Push,R2,Kailh_socket_PG1350_reversible,
SW_Push,L2,Kailh_socket_PG1350_reversible,
